name,affiliation,department,gold_email,gold_website
Nikolai Slavov,Northeastern University,Chemistry,,
Changjian Wang,Northeastern University,Engineering,,
Yifang Liu,Northeastern University,Materials Science,,
Nada R. Sanders,Northeastern University,"Business, Management and Accounting",,
Ge Yu,Northeastern University,Computer Science,,
Zhen‐Yu Tian,Northeastern University,Materials Science,,
Qianqian Fang,Northeastern University,Medicine,,
B.C. Giessen,Northeastern University,Engineering,,
Kai Wang,Northeastern University,Environmental Science,,
Francis Loth,Northeastern University,Medicine,,
Eugene S. Smotkin,Northeastern University,Energy,,
Thomas E. Wales,Northeastern University,Chemistry,,
Mingyang Lu,Northeastern University,"Biochemistry, Genetics and Molecular Biology",,
Melanie Tory,Northeastern University,Computer Science,,
Jeffrey W. Ruberti,Northeastern University,Materials Science,,
Jie Shen,Northeastern University,"Pharmacology, Toxicology and Pharmaceutics",,
Vanja Klepac‐Ceraj,Northeastern University,"Biochemistry, Genetics and Molecular Biology",,
Alan H. Clark,Northeastern University,Earth and Planetary Sciences,,
Nuggehally R. Srinivas,Northeastern University,"Pharmacology, Toxicology and Pharmaceutics",,
Carey M. Rappaport,Northeastern University,Engineering,,
Christopher Amato,Northeastern University,Computer Science,,
A. Widom,Northeastern University,Physics and Astronomy,,
Adrian Feiguin,Northeastern University,Physics and Astronomy,,
Megan L. O’Mara,Northeastern University,Medicine,,
Norman Hearst,Northeastern University,Medicine,,
Brandon C. Welsh,Northeastern University,Social Sciences,,
Paul C. Whitford,Northeastern University,"Biochemistry, Genetics and Molecular Biology",,
Guohao Dai,Northeastern University,Engineering,,
Nicola Perra,Northeastern University,Physics and Astronomy,,
Abraham Joy,Northeastern University,Chemistry,,
Edward A. O’Neill,Northeastern University,Medicine,,
Yang Liu,Northeastern University,Materials Science,,
Jon A. Reed,Northeastern University,Medicine,,
Rebecca L. Carrier,Northeastern University,Engineering,,
Mario Sznaier,Northeastern University,Engineering,,
Valentine M. Moghadam,Northeastern University,Social Sciences,,
Zhong Luo,Northeastern University,Engineering,,
Costas Panagopoulos,Northeastern University,Social Sciences,,
Robert F. Leeman,Northeastern University,Medicine,,
Gloria Barczak,Northeastern University,"Business, Management and Accounting",,
Jung Kyoo Lee,Northeastern University,Engineering,,
Lisheng Xu,Northeastern University,Engineering,,
Hyo‐Sang Shin,Northeastern University,Engineering,,
Ian Gorton,Northeastern University,Computer Science,,
Ahmed Busnaina,Northeastern University,Engineering,,
Devesh Tiwari,Northeastern University,Computer Science,,
D. Heiman,Northeastern University,Physics and Astronomy,,
István Z. Kiss,Northeastern University,Physics and Astronomy,,
C. G. King,Northeastern University,Nursing,,
Chuan‐Pu Liu,Northeastern University,Materials Science,,
Ziming Zhao,Northeastern University,Computer Science,,
Xue Lin,Northeastern University,Computer Science,,
Joseph A. Raelin,Northeastern University,"Business, Management and Accounting",,
Mary Jo Ondrechen,Northeastern University,"Biochemistry, Genetics and Molecular Biology",,
Luca Caracoglia,Northeastern University,Environmental Science,,
Yingzi Lin,Northeastern University,Psychology,,
Muhammad Fahad Ehsan,Northeastern University,Energy,,
John D. Coley,Northeastern University,Psychology,,
I. Leedom,Northeastern University,Physics and Astronomy,,
Ken R. Duffy,Northeastern University,Engineering,,
Shabir Ahmad,Northeastern University,Mathematics,,
Allen R. Hanson,Northeastern University,Computer Science,,
Hamid Nayeb‐Hashemi,Northeastern University,Engineering,,
Tao Tu,Northeastern University,Engineering,,
R. Edward Beighley,Northeastern University,Environmental Science,,
Marie‐Abèle Bind,Northeastern University,Environmental Science,,
Therese M. O’Neil-Pirozzi,Northeastern University,Medicine,,
Meng Cui,Northeastern University,"Biochemistry, Genetics and Molecular Biology",,
Chen Ding,Northeastern University,Medicine,,
Arnold Arluke,Northeastern University,"Biochemistry, Genetics and Molecular Biology",,
Mitchell Wand,Northeastern University,Computer Science,,
Nicolai Panikov,Northeastern University,Earth and Planetary Sciences,,
V.P. Torchilin,Northeastern University,Materials Science,,
Neha P. Gothe,Northeastern University,Medicine,,
Matteo Chinazzi,Northeastern University,Mathematics,,
