name,affiliation,department,gold_email,gold_website
Daniel Teres,Tufts University,Medicine,,
Andrew C. Kemp,Tufts University,Earth and Planetary Sciences,,
A. Lawrence Gould,Tufts University,Mathematics,,
J. Wolcott,Tufts University,Physics and Astronomy,,
Timothy S. Griffin,Tufts University,Environmental Science,,
Patrick J. Skelly,Tufts University,Immunology and Microbiology,,
Kerry L. Shaw,Tufts University,Agricultural and Biological Sciences,,
John Paul Chou,Tufts University,Physics and Astronomy,,
Sameer Sonkusale,Tufts University,Engineering,,
Alex de Waal,Tufts University,Social Sciences,,
Silvia Corcione,Tufts University,"Biochemistry, Genetics and Molecular Biology",,
Bing Feng,Tufts University,Medicine,,
Giuseppina Russo,Tufts University,Medicine,,
Christos Georgakis,Tufts University,Engineering,,
Yannis M. Ioannides,Tufts University,"Economics, Econometrics and Finance",,
Zoher Ghogawala,Tufts University,Medicine,,
Steven Swiryn,Tufts University,Medicine,,
James F. Powers,Tufts University,Arts and Humanities,,
John L. Durant,Tufts University,Environmental Science,,
Satvir S. Tevethia,Tufts University,"Biochemistry, Genetics and Molecular Biology",,
Peilei Fan,Tufts University,Environmental Science,,
Chris Fields,Tufts University,Physics and Astronomy,,
Robert G. Cook,Tufts University,Agricultural and Biological Sciences,,
Roy L. Kisliuk,Tufts University,"Biochemistry, Genetics and Molecular Biology",,
Babak Moaveni,Tufts University,Engineering,,
Pablo Argüeso,Tufts University,Medicine,,
Daniel Maxwell,Tufts University,Health Professions,,
David H. Kim,Tufts University,Medicine,,
Michael I. McBurney,Tufts University,Medicine,,
M. Kyla Shea,Tufts University,Nursing,,
David J. Ramsey,Tufts University,Medicine,,
David E. Thaler,Tufts University,Medicine,,
Malak Abedalthagafi,Tufts University,Medicine,,
Daniel A. Ollendorf,Tufts University,"Economics, Econometrics and Finance",,
Gordon S. Huggins,Tufts University,Medicine,,
Misha Eliasziw,Tufts University,Medicine,,
Margery C. Beinfeld,Tufts University,Neuroscience,,
Piyush B. Gupta,Tufts University,Medicine,,
Gregory F. Oxenkrug,Tufts University,Neuroscience,,
Heather L. Urry,Tufts University,Psychology,,
Michael B. Raizman,Tufts University,Medicine,,
Michael A. Murphy,Tufts University,Medicine,,
Graham B. Jones,Tufts University,Chemistry,,
Farshid Vahedifard,Tufts University,Environmental Science,,
Ayan R. Patel,Tufts University,Medicine,,
Maitreyi Raman,Tufts University,"Biochemistry, Genetics and Molecular Biology",,
Michael S. Kiernan,Tufts University,Engineering,,
Heber C. Nielsen,Tufts University,Medicine,,
James J. Pomposelli,Tufts University,Medicine,,
Kyle P. Quinn,Tufts University,"Biochemistry, Genetics and Molecular Biology",,
Daniela Ferrara,Tufts University,Medicine,,
I. M. Bernstein,Tufts University,Materials Science,,
Jeffrey Hopwood,Tufts University,Engineering,,
Margaret McMillan,Tufts University,"Economics, Econometrics and Finance",,
Zhongqi Fan,Tufts University,Agricultural and Biological Sciences,,
Linda Tickle‐Degnen,Tufts University,Medicine,,
Nicholas H. Dodman,Tufts University,"Biochemistry, Genetics and Molecular Biology",,
Ryan Tewhey,Tufts University,"Biochemistry, Genetics and Molecular Biology",,
James C.M. Chan,Tufts University,Medicine,,
Sheldon Krimsky,Tufts University,"Pharmacology, Toxicology and Pharmaceutics",,
Mark Cronin‐Golomb,Tufts University,Physics and Astronomy,,
Matthew Finkelman,Tufts University,Dentistry,,
Stanley Jacobson,Tufts University,Neuroscience,,
Marjory B. Brooks,Tufts University,Medicine,,
Alice Tang,Tufts University,Medicine,,
Roman Schumann,Tufts University,Medicine,,
John T. Germaine,Tufts University,Engineering,,
Shuang Pan,Tufts University,Engineering,,
J. M. McKenzie,Tufts University,Medicine,,
Ann H. Kwan,Tufts University,"Biochemistry, Genetics and Molecular Biology",,
Jonathan A. Runstadler,Tufts University,Medicine,,
Qiang Fu,Tufts University,Medicine,,
Toan Huynh,Tufts University,Computer Science,,
Yao Liu,Tufts University,Medicine,,
Brian Schaffner,Tufts University,Social Sciences,,
Angelo Sassaroli,Tufts University,Medicine,,
Xueyan Fu,Tufts University,Nursing,,
Samuel W. Thomas,Tufts University,Materials Science,,
R. I. Thompson,Tufts University,Physics and Astronomy,,
William R. Moomaw,Tufts University,"Economics, Econometrics and Finance",,
Xuan Han,Tufts University,Environmental Science,,
Brent Cochran,Tufts University,Medicine,,
Laura G. Reinholdt,Tufts University,"Biochemistry, Genetics and Molecular Biology",,
Howard H. Chauncey,Tufts University,Medicine,,
James Baleja,Tufts University,"Biochemistry, Genetics and Molecular Biology",,
Abani Patra,Tufts University,Environmental Science,,
R. Khanbilvardi,Tufts University,Environmental Science,,
Pinaki Talukdar,Tufts University,Chemistry,,
Mark G. Jones,Tufts University,Medicine,,
R. P. Guertin,Tufts University,Physics and Astronomy,,
Wendy Y. Craig,Tufts University,Medicine,,
Hamed Moftakhari,Tufts University,Environmental Science,,
Bernard Ewigman,Tufts University,Health Professions,,
Timothy L. Fitzgerald,Tufts University,Medicine,,
Tariq I. Mughal,Tufts University,Medicine,,
Sara C. Folta,Tufts University,Medicine,,
Tania D. Strout,Tufts University,Medicine,,
James M. Smoliga,Tufts University,Medicine,,
F. I. Kaya,Tufts University,Physics and Astronomy,,
Alysse G. Wurcel,Tufts University,Medicine,,
Daniele Lantagne,Tufts University,Nursing,,
Frank J. Rybicki,Tufts University,Engineering,,
Ralf Wimmer,Tufts University,Medicine,,
Tong Gao,Tufts University,Physics and Astronomy,,
Allen F. Shaughnessy,Tufts University,Health Professions,,
Shayesteh Jahanfar,Tufts University,Medicine,,
Joel P. Trachtman,Tufts University,Social Sciences,,
Pramod Reddy,Tufts University,Medicine,,
Graham L. Jones,Tufts University,Agricultural and Biological Sciences,,
George Norman,Tufts University,"Economics, Econometrics and Finance",,
Muhammad Jamil,Tufts University,Agricultural and Biological Sciences,,
Thomas J. Stopka,Tufts University,Medicine,,
Sean B. Cash,Tufts University,Medicine,,
D. Creamer,Tufts University,Medicine,,
Keren Ladin,Tufts University,Medicine,,
Paul Summergrad,Tufts University,Arts and Humanities,,
Douglas Gollin,Tufts University,Agricultural and Biological Sciences,,
A. Rafique,Tufts University,Physics and Astronomy,,
Shelly R. Peyton,Tufts University,"Biochemistry, Genetics and Molecular Biology",,
Erin Coughlan de Perez,Tufts University,Environmental Science,,
Jing Li,Tufts University,"Economics, Econometrics and Finance",,
Alnoor Ebrahim,Tufts University,Social Sciences,,
Thuc Duy Le,Tufts University,"Biochemistry, Genetics and Molecular Biology",,
Srivalleesha Mallidi,Tufts University,Engineering,,
Douglas A. Howell,Tufts University,Medicine,,
Lenore Cowen,Tufts University,"Biochemistry, Genetics and Molecular Biology",,
Paul Mathew,Tufts University,Medicine,,
Rajendra Prasad,Tufts University,Physics and Astronomy,,
Mark P. Hertzberg,Tufts University,Physics and Astronomy,,
Brian J. McGrory,Tufts University,Medicine,,
Sidney Leskowitz,Tufts University,Immunology and Microbiology,,
E. L. Miller,Tufts University,Agricultural and Biological Sciences,,
Robert M. Hayes,Tufts University,Agricultural and Biological Sciences,,
Gregory W. Carter,Tufts University,Medicine,,
Erika F. Werner,Tufts University,Medicine,,
Stéphanie Bertrand,Tufts University,Arts and Humanities,,
Gregory Crane,Tufts University,Arts and Humanities,,
James C. McCann,Tufts University,Social Sciences,,
F.A. Lindholm,Tufts University,Engineering,,
Bruce M. Boghosian,Tufts University,Engineering,,
Beatrice Lorge Rogers,Tufts University,Nursing,,
Lisa Cosgrove,Tufts University,"Pharmacology, Toxicology and Pharmaceutics",,
Yushu Wang,Tufts University,Medicine,,
John C. Duffy,Tufts University,Medicine,,
Misha E. Kilmer,Tufts University,Engineering,,
R. Kershaw,Tufts University,Engineering,,
Erin Hennessy,Tufts University,Medicine,,
P Geck,Tufts University,Medicine,,
Eric Todd Quinto,Tufts University,Medicine,,
Megan K. Mueller,Tufts University,"Biochemistry, Genetics and Molecular Biology",,
Mohammed N. Afsar,Tufts University,Engineering,,
Jody Azzouni,Tufts University,Psychology,,
James M. Blum,Tufts University,Medicine,,
Moisés Guelrud,Tufts University,Medicine,,
Alan McKinlay,Tufts University,"Business, Management and Accounting",,
Jennifer Coates,Tufts University,Social Sciences,,
Zhaoping Li,Tufts University,Medicine,,
Xinjie Chen,Tufts University,"Biochemistry, Genetics and Molecular Biology",,
Kenneth Chui,Tufts University,Medicine,,
David MacKenzie,Tufts University,Health Professions,,
Gary R. Goldstein,Tufts University,Physics and Astronomy,,
Angie Mae Rodday,Tufts University,Medicine,,
Hiroaki Ikezaki,Tufts University,Medicine,,
Shibani Ghosh,Tufts University,Nursing,,
Tong Zheng,Tufts University,Engineering,,
Leslie C. Sharkey,Tufts University,Medicine,,
Kenneth Getz,Tufts University,"Economics, Econometrics and Finance",,
Charles R. Mace,Tufts University,Engineering,,
Eric Tytell,Tufts University,Environmental Science,,
Richard M. Weiss,Tufts University,Mathematics,,
C. A. S. Almeida,Tufts University,Physics and Astronomy,,
Rachana Singh,Tufts University,Medicine,,
Mai Vu,Tufts University,Computer Science,,
Yoichiro Otaki,Tufts University,Medicine,,
Minying Liu,Tufts University,Engineering,,
Jeffrey Guasto,Tufts University,Physics and Astronomy,,
Carlos Fernando Mourão,Tufts University,Medicine,,
Ilias P. Doulamis,Tufts University,Medicine,,
Justin B. Hollander,Tufts University,Social Sciences,,
James D. Chambers,Tufts University,"Economics, Econometrics and Finance",,
